"name" "long" "lat"
"198" "Greenwich St & W Houston St" -74.008591 40.728846
"199" "W 33 St & 7 Ave" -73.99093085 40.75019995
"200" "DeKalb Ave & Hudson Ave" -73.981013 40.689888
"201" "Vesey Pl & River Terrace" -74.01658354 40.7153379
"202" "Greenwich St & North Moore St" -74.0103650093079 40.7201522702329
"203" "W 45 St & 6 Ave" -73.98291153 40.7568001
"204" "E 48 St & 5 Ave" -73.978059142828 40.7572456791173
"205" "E 40 St & 5 Ave" -73.9816324043 40.752062307
"206" "E 47 St & Park Ave" -73.97498696 40.75510267
"207" "Union Ave & Wallabout St" -73.95032283 40.70029511
"208" "Union Ave & Jackson St" -73.952029 40.7160751
"209" "E 20 St & 2 Ave" -73.98205027 40.73587678
"210" "Willoughby Ave & Walworth St" -73.95381995 40.69331716
"211" "Greenpoint Ave & Manhattan Ave" -73.95394 40.73026
"212" "Washington Pl & Broadway" -73.99404649 40.72903917
"213" "E 53 St & Madison Ave" -73.97402311 40.7597108
"214" "William St & Pine St" -74.00887308 40.70717936
"215" "W 37 St & 5 Ave" -73.98338988 40.75038009
"216" "Greenwich St & Warren St" -74.01121978 40.71542197
"217" "E 32 St & Park Ave" -73.98194829 40.7457121
"218" "W 67 St & Broadway" -73.98266566 40.77492513
"219" "6 Ave & Broome St" -74.004704 40.724399
"220" "Park Ave & St Edwards St" -73.97803415 40.69608941
"221" "E 27 St & 1 Ave" -73.976806 40.739445
"222" "Reade St & Broadway" -74.00562789 40.71450451
"223" "W 52 St & 5 Ave" -73.97648516 40.75992262
"224" "E 77 St & 3 Ave" -73.95856158 40.77314236
"225" "Broadway & W 24 St" -73.98915076 40.7423543
"226" "W 20 St & 11 Ave" -74.007756 40.746745
"227" "E 56 St & Madison Ave" -73.972924 40.761628
"228" "E 15 St & 3 Ave" -73.986923 40.734232
"229" "Clinton St & Grand St" -73.9870295 40.71559509
"230" "E 33 St & 5 Ave" -73.98490707 40.74765947
"231" "E 53 St & Lexington Ave" -73.97069431 40.75828065
"232" "E 47 St & 2 Ave" -73.97032517 40.75323098
"233" "Broadway & W 29 St" -73.98855723 40.7462009
"234" "E 58 St & 3 Ave" -73.96724467 40.76095756
"235" "Monroe St & Bedford Ave" -73.95380904 40.6851443
"236" "Warren St & Church St" -74.00910627 40.71473993
"237" "Metropolitan Ave & Meeker Ave" -73.95234386 40.71413311
"238" "Front St & Maiden Ln" -74.00612572 40.70530954
"239" "E 85 St & 3 Ave" -73.95407149 40.77801203
"240" "Stanton St & Mangin St" -73.97628939 40.71782143
"241" "W 26 St & 8 Ave" -73.99723551 40.74734825
"242" "Broadway & W 39 St" -73.98721619 40.75299641
